14345348	и
11335734	в
6545609	не
5737426	на
4998377	я
4947719	он
4843591	быть
4675069	что
4253772	с
2815475	а
2505731	как
2261069	то
2227685	она
2185239	к
2109612	этот
2097072	это
2089119	по
2062425	но
1915969	они
1772879	мы
1718580	свой
1703197	который
1669273	из
1616065	весь
1572078	у
1487183	за
1467970	от
1368273	все
1361776	о
1357693	так
1297018	же
1163388	вы
1150019	для
1139491	мочь
1118783	ты
1111801	год
1110290	один
1103656	его
1096373	тот
1084431	человек
1004688	только
962928	такой
948112	бы
935991	себя
920200	сказать
899685	еще
817174	мой
807411	или
801050	говорить
794052	до
768251	время
757837	уже
756600	когда
753279	другой
717777	наш
654661	да
647885	если
644576	знать
618116	вот
618081	сам
596498	ни
585302	день
583032	дело
563150	при
557706	стать
556761	чтобы
551223	самый
531854	жизнь
525880	очень
525422	нет
518561	во
514289	даже
510161	два
491628	рука
485912	ее
477689	первый
454761	ли
440182	под
439392	со
437200	кто
435603	где
431285	новый
427548	слово
425011	какой
418547	раз
403544	теперь
402082	их
402002	идти
399192	без
395383	после
394195	иметь
389633	там
388024	ничто
377820	должен
376185	большой
374580	видеть
370104	место
369179	хотеть
361755	можно
358913	глаз
