и	14345348
в	11335734
не	6545609
на	5737426
я	4998377
он	4947719
быть	4843591
что	4675069
с	4253772
а	2815475
как	2505731
то	2261069
она	2227685
к	2185239
этот	2109612
это	2097072
по	2089119
но	2062425
они	1915969
мы	1772879
свой	1718580
который	1703197
из	1669273
весь	1616065
у	1572078
за	1487183
от	1467970
все	1368273
о	1361776
так	1357693
же	1297018
вы	1163388
для	1150019
мочь	1139491
ты	1118783
год	1111801
один	1110290
его	1103656
тот	1096373
человек	1084431
только	1004688
такой	962928
бы	948112
себя	935991
сказать	920200
еще	899685
мой	817174
или	807411
говорить	801050
до	794052
время	768251
уже	757837
когда	756600
другой	753279
наш	717777
да	654661
если	647885
знать	644576
вот	618116
сам	618081
ни	596498
день	585302
дело	583032
при	563150
стать	557706
чтобы	556761
самый	551223
жизнь	531854
очень	525880
нет	525422
во	518561
даже	514289
два	510161
рука	491628
ее	485912
первый	477689
ли	454761
под	440182
со	439392
кто	437200
где	435603
новый	431285
слово	427548
какой	425011
раз	418547
теперь	403544
их	402082
идти	402002
без	399192
после	395383
иметь	394195
там	389633
ничто	388024
должен	377820
большой	376185
видеть	374580
место	370104
хотеть	369179
можно	361755
глаз	358913
